IMAGE,LABEL
train_0.png,HerbaceousVegetation
train_1.png,Pasture
train_2.png,Residential
train_3.png,SeaLake
train_4.png,Highway
train_5.png,HerbaceousVegetation
train_6.png,HerbaceousVegetation
train_7.png,Pasture
train_8.png,HerbaceousVegetation
train_9.png,River
train_10.png,AnnualCrop
train_11.png,SeaLake
train_12.png,SeaLake
train_13.png,SeaLake
train_14.png,SeaLake
train_15.png,Residential
train_16.png,AnnualCrop
train_17.png,Residential
train_18.png,Residential
train_19.png,Pasture
train_20.png,Forest
train_21.png,Highway
train_22.png,SeaLake
train_23.png,Industrial
train_24.png,SeaLake
train_25.png,SeaLake
train_26.png,SeaLake
train_27.png,AnnualCrop
train_28.png,Highway
train_29.png,AnnualCrop
train_30.png,AnnualCrop
train_31.png,Highway
train_32.png,River
train_33.png,SeaLake
train_34.png,River
train_35.png,PermanentCrop
train_36.png,Residential
train_37.png,River
train_38.png,Forest
train_39.png,SeaLake
train_40.png,Residential
train_41.png,PermanentCrop
train_42.png,Residential
train_43.png,Residential
train_44.png,SeaLake
train_45.png,HerbaceousVegetation
train_46.png,River
train_47.png,SeaLake
train_48.png,Forest
train_49.png,Forest
train_50.png,PermanentCrop
train_51.png,Residential
train_52.png,Forest
train_53.png,Highway
train_54.png,SeaLake
train_55.png,Residential
train_56.png,AnnualCrop
train_57.png,PermanentCrop
train_58.png,PermanentCrop
train_59.png,River
train_60.png,Forest
train_61.png,River
train_62.png,SeaLake
train_63.png,Forest
train_64.png,Industrial
train_65.png,HerbaceousVegetation
train_66.png,Highway
train_67.png,SeaLake
train_68.png,Residential
train_69.png,Residential
train_70.png,AnnualCrop
train_71.png,River
train_72.png,Forest
train_73.png,SeaLake
train_74.png,AnnualCrop
train_75.png,SeaLake
train_76.png,Pasture
train_77.png,Industrial
train_78.png,Industrial
train_79.png,AnnualCrop
train_80.png,Industrial
train_81.png,SeaLake
train_82.png,PermanentCrop
train_83.png,AnnualCrop
train_84.png,HerbaceousVegetation
train_85.png,AnnualCrop
train_86.png,SeaLake
train_87.png,Industrial
train_88.png,Industrial
train_89.png,AnnualCrop
train_90.png,Forest
train_91.png,SeaLake
train_92.png,Industrial
train_93.png,PermanentCrop
train_94.png,Residential
train_95.png,Highway
train_96.png,Residential
train_97.png,SeaLake
train_98.png,HerbaceousVegetation
train_99.png,AnnualCrop
train_100.png,SeaLake
train_101.png,Highway
train_102.png,Industrial
train_103.png,Pasture
train_104.png,Highway
train_105.png,Residential
train_106.png,AnnualCrop
train_107.png,HerbaceousVegetation
train_108.png,Industrial
train_109.png,Pasture
train_110.png,Highway
train_111.png,Residential
train_112.png,SeaLake
train_113.png,Industrial
train_114.png,Residential
train_115.png,Residential
train_116.png,AnnualCrop
train_117.png,SeaLake
train_118.png,Residential
train_119.png,PermanentCrop
train_120.png,HerbaceousVegetation
train_121.png,River
train_122.png,Forest
train_123.png,PermanentCrop
train_124.png,Residential
train_125.png,SeaLake
train_126.png,AnnualCrop
train_127.png,River
train_128.png,Residential
train_129.png,River
train_130.png,PermanentCrop
train_131.png,PermanentCrop
train_132.png,Industrial
train_133.png,River
train_134.png,Industrial
train_135.png,Forest
train_136.png,AnnualCrop
train_137.png,River
train_138.png,SeaLake
train_139.png,HerbaceousVegetation
train_140.png,Highway
train_141.png,Forest
train_142.png,Highway
train_143.png,SeaLake
train_144.png,Residential
train_145.png,SeaLake
train_146.png,Industrial
train_147.png,PermanentCrop
train_148.png,Forest
train_149.png,Forest
train_150.png,SeaLake
train_151.png,River
train_152.png,Forest
train_153.png,PermanentCrop
train_154.png,AnnualCrop
train_155.png,SeaLake
train_156.png,Pasture
train_157.png,Industrial
train_158.png,HerbaceousVegetation
train_159.png,HerbaceousVegetation
train_160.png,Highway
train_161.png,Highway
train_162.png,SeaLake
train_163.png,HerbaceousVegetation
train_164.png,Highway
train_165.png,Forest
train_166.png,AnnualCrop
train_167.png,HerbaceousVegetation
train_168.png,Industrial
train_169.png,Industrial
train_170.png,River
train_171.png,HerbaceousVegetation
train_172.png,Pasture
train_173.png,Residential
train_174.png,Forest
train_175.png,PermanentCrop
train_176.png,Industrial
train_177.png,Forest
train_178.png,Pasture
train_179.png,Residential
train_180.png,Pasture
train_181.png,HerbaceousVegetation
train_182.png,Highway
train_183.png,AnnualCrop
train_184.png,Industrial
train_185.png,SeaLake
train_186.png,Highway
train_187.png,PermanentCrop
train_188.png,AnnualCrop
train_189.png,Industrial
train_190.png,Forest
train_191.png,AnnualCrop
train_192.png,SeaLake
train_193.png,SeaLake
train_194.png,AnnualCrop
train_195.png,AnnualCrop
train_196.png,Industrial
train_197.png,Forest
train_198.png,Residential
train_199.png,Residential
train_200.png,Highway
train_201.png,River
train_202.png,Residential
train_203.png,SeaLake
train_204.png,AnnualCrop
train_205.png,HerbaceousVegetation
train_206.png,River
train_207.png,SeaLake
train_208.png,SeaLake
train_209.png,AnnualCrop
train_210.png,SeaLake
train_211.png,HerbaceousVegetation
train_212.png,HerbaceousVegetation
train_213.png,Industrial
train_214.png,Highway
train_215.png,Highway
train_216.png,SeaLake
train_217.png,Forest
train_218.png,Industrial
train_219.png,SeaLake
train_220.png,Forest
train_221.png,Residential
train_222.png,Pasture
train_223.png,PermanentCrop
train_224.png,Highway
train_225.png,HerbaceousVegetation
train_226.png,AnnualCrop
train_227.png,PermanentCrop
train_228.png,Industrial
train_229.png,Pasture
train_230.png,Pasture
train_231.png,Pasture
train_232.png,SeaLake
train_233.png,AnnualCrop
train_234.png,Industrial
train_235.png,Forest
train_236.png,River
train_237.png,PermanentCrop
train_238.png,Residential
train_239.png,Highway
train_240.png,SeaLake
