IMAGE,LABEL
train_5767.png,Forest
train_16113.png,HerbaceousVegetation
train_4044.png,SeaLake
train_16128.png,Industrial
train_11523.png,SeaLake
train_9816.png,Pasture
train_1151.png,SeaLake
train_3271.png,SeaLake
train_14083.png,Pasture
train_3347.png,River
train_10177.png,Industrial
train_5125.png,Highway
train_2519.png,Residential
train_13628.png,Industrial
train_13980.png,PermanentCrop
train_15796.png,Industrial
train_12634.png,PermanentCrop
train_5647.png,HerbaceousVegetation
train_1880.png,Industrial
train_15908.png,Residential
train_9927.png,AnnualCrop
train_14647.png,Pasture
train_9553.png,River
train_16505.png,Industrial
train_3749.png,SeaLake
train_9449.png,Residential
train_4138.png,HerbaceousVegetation
train_7914.png,PermanentCrop
train_4544.png,River
train_15784.png,AnnualCrop
train_7439.png,AnnualCrop
train_15927.png,Industrial
train_12675.png,Forest
train_3072.png,Pasture
train_1524.png,Pasture
train_349.png,Industrial
train_4509.png,River
train_16074.png,AnnualCrop
train_892.png,Residential
train_15757.png,Residential
train_11479.png,AnnualCrop
train_14912.png,SeaLake
train_8002.png,AnnualCrop
train_8542.png,Highway
train_12752.png,SeaLake
train_15562.png,River
train_295.png,Industrial
train_716.png,Residential
train_8109.png,HerbaceousVegetation
train_14249.png,PermanentCrop
train_14899.png,SeaLake
train_10799.png,AnnualCrop
train_2466.png,HerbaceousVegetation
train_13929.png,AnnualCrop
train_2659.png,SeaLake
train_3195.png,Forest
train_13502.png,Industrial
train_14847.png,Highway
train_15213.png,Industrial
train_15438.png,River
train_9301.png,River
train_4094.png,PermanentCrop
train_1508.png,Residential
train_9977.png,HerbaceousVegetation
train_1174.png,Highway
train_3952.png,Industrial
train_7128.png,Residential
train_12577.png,Pasture
train_2806.png,River
train_2932.png,Pasture
train_6745.png,SeaLake
train_11752.png,PermanentCrop
train_11358.png,Pasture
train_7059.png,HerbaceousVegetation
train_2229.png,Highway
train_1228.png,Forest
train_15408.png,Forest
train_789.png,River
train_612.png,Industrial
train_3740.png,SeaLake
train_15485.png,PermanentCrop
